journal_name,category,if_2023,if_2022,涨跌分值
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",33.9,35.3,-1.401
Military Medical Research,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",21.1,34.92,-13.815
Nature Reviews Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",36.3,34.57,1.729
GASTROENTEROLOGY,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),29.4,33.88,-4.483
IEEE Communications Surveys and Tutorials,"TELECOMMUNICATIONS - SCIE(Q1); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1)",35.6,33.84,1.76
EUROPEAN RESPIRATORY JOURNAL,RESPIRATORY SYSTEM - SCIE(Q1),24.3,33.8,-9.495
MATERIALS SCIENCE & ENGINEERING R-REPORTS,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",31,33.67,-2.667
Nature Electronics,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)",34.3,33.26,1.045
JAMA Oncology,ONCOLOGY - SCIE(Q1),28.4,33.01,-4.606
Electrochemical Energy Reviews,ELECTROCHEMISTRY - SCIE(Q1),31.3,32.8,-1.504
Annual Review of Immunology,IMMUNOLOGY - SCIE(Q1),29.7,32.48,-2.781
Annual Review of Pathology-Mechanisms of Disease,PATHOLOGY - SCIE(Q1),36.2,32.35,3.85
Nature Reviews Rheumatology,RHEUMATOLOGY - SCIE(Q1),33.7,32.29,1.414
ADVANCED MATERIALS,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)",29.4,32.09,-2.686
GUT,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),24.5,31.79,-7.293
Cell Metabolism,CELL BIOLOGY - SCIE(Q1); ENDOCRINOLOGY & METABOLISM - SCIE(Q1),29,31.37,-2.373
Cell Host & Microbe,VIROLOGY - SCIE(Q1); PARASITOLOGY - SCIE(Q1); MICROBIOLOGY - SCIE(Q1),30.3,31.32,-1.016
PROGRESS IN POLYMER SCIENCE,POLYMER SCIENCE - SCIE(Q1),27.1,31.28,-4.181
NATURE IMMUNOLOGY,IMMUNOLOGY - SCIE(Q1),30.5,31.25,-0.75
Nature Microbiology,MICROBIOLOGY - SCIE(Q1),28.3,30.96,-2.664
Science Immunology,IMMUNOLOGY - SCIE(Q1),24.8,30.63,-5.83
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,RESPIRATORY SYSTEM - SCIE(Q1); CRITICAL CARE MEDICINE - SCIE(Q1),24.7,30.53,-5.828
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",30,30.51,-0.51
JAMA Cardiology,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),24,30.15,-6.154
Lancet Haematology,HEMATOLOGY - SCIE(Q1),24.7,30.15,-5.453
JOURNAL OF HEPATOLOGY,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),25.7,30.08,-4.383
JAMA Neurology,CLINICAL NEUROLOGY - SCIE(Q1),29,29.91,-0.907
Advanced Energy Materials,"CHEMISTRY, PHYSICAL - SCIE(Q1); ENERGY & FUELS - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)",27.8,29.7,-1.898
Nature Biomedical Engineering,"ENGINEERING, BIOMEDICAL - SCIE(Q1)",28.1,29.23,-1.134
RADIOLOGY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1)",19.7,29.15,-9.446
MMWR Surveillance Summaries,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",24.9,29.1,-4.195
NATURE NEUROSCIENCE,NEUROSCIENCES - SCIE(Q1),25,28.77,-3.771
Lancet Planetary Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1)",25.7,28.75,-3.05
Living Reviews in Solar Physics,ASTRONOMY & ASTROPHYSICS - SCIE(Q1),20.9,28.7,-7.8
Nature Climate Change,ENVIRONMENTAL STUDIES - SSCI(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q1),30.7,28.66,2.04
Annual Review of Plant Biology,PLANT SCIENCES - SCIE(Q1),23.9,28.31,-4.41
NATURE CELL BIOLOGY,CELL BIOLOGY - SCIE(Q1),21.3,28.21,-6.913
ANNALS OF THE RHEUMATIC DISEASES,RHEUMATOLOGY - SCIE(Q1),27.4,27.97,-0.573
